Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Chile,CHL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.62474983424569
China,CHN,"Population, total",SP.POP.TOTL,1412175000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,18316765021690.2
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12970.6056414327
China,CHN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,645
China,CHN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.86482511020235
Colombia,COL,"Population, total",SP.POP.TOTL,51737944
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,345632492851.448
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6680.44506854481
Colombia,COL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,3240
Colombia,COL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.70753982802254
Comoros,COM,"Population, total",SP.POP.TOTL,834188
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1222485532.31976
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1465.479642862
Comoros,COM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,900
Comoros,COM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.515231578493098
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,102396968
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,70422346142.2023
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,687.738587554685
"Congo, Dem. Rep.",COD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1543
"Congo, Dem. Rep.",COD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0610125487309351
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,6035104
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,15817030154.6941
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2620.83804267402
"Congo, Rep.",COG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1646
"Congo, Rep.",COG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.38493056623382
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5081765
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,69243626028.5936
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,13625.9008491328
Costa Rica,CRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2926
Costa Rica,CRI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.61315999460817
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,30395002
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,70922824813.9102
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2333.37128301259
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1348
Cote d'Ivoire,CIV,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.605701555801839
Croatia,HRV,"Population, total",SP.POP.TOTL,3855641
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,71196498671.1145
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,18465.5414420364
Croatia,HRV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1113
Croatia,HRV,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.57371420212618
Cuba,CUB,"Population, total",SP.POP.TOTL,11059820
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,..
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Cuba,CUB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1335
Cuba,CUB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.78698206661591
Curacao,CUW,"Population, total",SP.POP.TOTL,153321
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3075180834.72417
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,20057.1404747175
Curacao,CUW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Curacao,CUW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,1331370
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,31218038929.0919
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,33231.04296875
Cyprus,CYP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,498
Cyprus,CYP,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.425313774533
Czechia,CZE,"Population, total",SP.POP.TOTL,10672118
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,301831228325.556
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,28282.2236715857
Czechia,CZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,677
